Name,Profile Link,Title,Location,Rate per Hour,Job Success Score,Total Earnings,Category
augurstech,https://www.freelancer.pk/u/augurstech,Leading Tech Solutions Provider at Freelancer,India,$50 USD / hour,5.0,8.5,software-development
abatsis,https://www.freelancer.pk/u/abatsis,SQL | Access | Excel | VBA | Web Aps | Flowcharts,Greece,$65 USD / hour,5.0,6.1,software-development
irsolutions,https://www.freelancer.pk/u/irsolutions,Web3 | Web & Mobile Apps | AI | Blockchain | AR/VR,Pakistan,$50 USD / hour,5.0,6.1,software-development
AITSoft,https://www.freelancer.pk/u/AITSoft,Web | Mobile | Desktop | Games | Blockchain | ML,Pakistan,$25 USD / hour,5.0,5.6,software-development
AwaisChaudhry,https://www.freelancer.pk/u/AwaisChaudhry,Among Top 100 on Freelancer Search out of 2Million,Pakistan,$50 USD / hour,5.0,6.9,software-development
Tafsol,https://www.freelancer.pk/u/Tafsol,Award-Winning Digital Agency Among Top 1%,Pakistan,$45 USD / hour,5.0,6.5,software-development
Ahmed1elhadidi,https://www.freelancer.pk/u/Ahmed1elhadidi,✅ Mobile Apps ✅ DevOps ✅ TOP 3% ✅ PFP ✅ Linux,Egypt,$50 USD / hour,5.0,2.5,software-development
p4logics,https://www.freelancer.pk/u/p4logics,"NOT THE CHEAPEST, BUT QUALITY SERVICE GUARANTEED!",India,$25 USD / hour,5.0,5.8,software-development
devetar,https://www.freelancer.pk/u/devetar,Full-Stack Developer Since 2010!!!!,Czech Republic,$50 USD / hour,5.0,5.2,software-development
shahiddgk,https://www.freelancer.pk/u/shahiddgk,PHP | Laravel | Flutter | ReactJS | NodeJS,Pakistan,$50 USD / hour,5.0,6.9,software-development
NaaharTech,https://www.freelancer.pk/u/NaaharTech,Software Engineer | System Admin | Trading Bots,Bangladesh,$50 USD / hour,5.0,4.6,software-development
nikhilgarg96,https://www.freelancer.pk/u/nikhilgarg96,✅Full Stack ✅ Top 5% JavaScript ✅ Odoo Partner,India,$30 USD / hour,4.5,5.5,software-development
writingapp,https://www.freelancer.pk/u/writingapp,App Writer,Vietnam,$40 USD / hour,5.0,4.5,software-development
uuusi,https://www.freelancer.pk/u/uuusi,Top Rated Agency: Design ❗ Development❗ Marketing❗,Pakistan,$50 USD / hour,5.0,4.4,software-development
expertcoder1vw,https://www.freelancer.pk/u/expertcoder1vw,Software Design and Development Expert,Malawi,$50 USD / hour,5.0,5.3,software-development
